variable,importancia_shap_media_abs,importancia_rf,importancia_permutation,importancia_shap_media_abs_norm,importancia_rf_norm,importancia_permutation_norm
tenure,0.08024131182798794,0.1974325741832255,0.044923668666621785,1.0,1.0,1.0
InternetService_Fiber optic,0.06282830398635127,0.09140493319783329,0.026251870104725804,0.7829919844909232,0.462967843963812,0.5843661233355792
Contract_Two year,0.05239320509927778,0.11575356981433922,0.01916152010394927,0.6529455202775384,0.5862941831823313,0.42653506876623926
TotalCharges,0.04156440371001718,0.12341075918119883,0.016616624648627322,0.5179925746866919,0.625078002916928,0.36988574490518955
PaymentMethod_Electronic check,0.03417863079914989,0.06106690518451391,0.003029440236888581,0.42594805618853904,0.30930511561806073,0.06743528137405773
Contract_One year,0.025021697312067274,0.04272865859110872,0.009097638879541892,0.31183061121565286,0.21642152399560358,0.2025132663820358
OnlineSecurity_Yes,0.022879695041913502,0.03853878901066856,0.001461140647405612,0.2851361040926194,0.1951997494339662,0.03252496269280067
MonthlyCharges,0.02241829033071633,0.0650771830957173,0.00437358609729197,0.27938589013567067,0.32961725472577297,0.09735594235965724
TechSupport_Yes,0.017030746890154737,0.027689711226146302,0.0014443161758234124,0.21224412340943885,0.14024895000583398,0.032150450279154
InternetService_No,0.01243338577150214,0.022061449411338523,0.0009390643523095266,0.15494993150355513,0.11174168954948942,0.020903554410890087
DeviceProtection_No internet service,0.012096656090728315,0.021688337288438192,0.0007125810810110877,0.1507534686952742,0.10985186906548931,0.015862041150270845
OnlineSecurity_No internet service,0.011738853458618817,0.022268485079538353,0.0009116275217293524,0.14629438616087453,0.11279032941581509,0.02029281109017461
StreamingMovies_No internet service,0.010953269831347255,0.019766012580086405,0.0005759146041589558,0.136504122151288,0.100115255356711,0.012819848005576166
TechSupport_No internet service,0.010706285006258705,0.019723725200221923,0.0007231934400090178,0.13342609638797534,0.09990106891843238,0.016098272057338662
StreamingTV_No internet service,0.010630045283486586,0.019043960116104385,0.0002676385171686446,0.13247596582511076,0.09645804495478448,0.0059576282416912135
PaperlessBilling,0.010318010263149132,0.01233415092921266,0.0020059946886436864,0.1285872579609328,0.062472725082164324,0.04465340316549297
OnlineBackup_No internet service,0.009134851489185726,0.017412879436309356,0.00047885034503099,0.11384225009640878,0.08819658816862457,0.010659199465309365
OnlineBackup_Yes,0.008252697928798531,0.012103082076368185,0.0003931749589740852,0.10284849213943202,0.06130235664726749,0.008752067020434899
Dependents,0.0073075465847007096,0.009241875320173171,-0.0006250938287839069,0.09106963007242186,0.04681028628840311,-0.013914576599313907
MultipleLines_Yes,0.00673625804354265,0.008367882310365149,0.0005430421750676429,0.08394999894796165,0.0423834939344883,0.012088108366606362
StreamingTV_Yes,0.006053340492782008,0.00614547005778986,0.0005492542876517792,0.07543920151453232,0.03112693071654231,0.012226389873182248
StreamingMovies_Yes,0.005747297626961198,0.0065995677587733555,0.00048687432378560216,0.07162517032724479,0.033426944799132725,0.010837813077972169
Partner,0.005640819199366794,0.008976686249703904,0.00011932432922117098,0.07029819267485221,0.04546709825792563,0.0026561572721648346
SeniorCitizen,0.004638296228770319,0.00501395066463678,0.0003170765798178099,0.05780434196680836,0.025395761998137294,0.007058118564866838
DeviceProtection_Yes,0.0024476565080105927,0.006087931710646868,-0.00035434925532309427,0.03050369506991107,0.030835497819103646,-0.007887807604332529
PaymentMethod_Credit card (automatic),0.0023811322842819884,0.004912030076957179,0.0001071589420770902,0.02967464302411188,0.024879532150548847,0.0023853559884504517
gender,0.0019168388916719853,0.005974749578385209,5.927390757403117e-05,0.023888429139606832,0.030262228019376364,0.001319436041920405
MultipleLines_No phone service,0.0016040778137358597,0.0031756337947153766,0.00031681774179352916,0.019990672849099184,0.01608464969801923,0.007052356835427474
PaymentMethod_Mailed check,0.0014396552004293712,0.0035291451308923794,0.0006962742854775827,0.01794157108891163,0.01787519179898444,0.015499052195505873
PhoneService,0.001086101774861957,0.0024699117445910325,-5.5909013257737786e-05,0.013535443901892041,0.012510153174110233,-0.0012445335591943338
